coin,name,networkList
TNC,TNC,"[{'coin': 'TNC', 'depositDesc': None, 'depositEnable': False, 'minConfirm': 64, 'name': 'TNC', 'network': 'Ethereum(ERC20)', 'withdrawEnable': True, 'withdrawFee': '0', 'withdrawIntegerMultiple': None, 'withdrawMax': '80000000', 'withdrawMin': '4000', 'sameAddress': False, 'contract': '0x67fbA6D5eed1f20F8454Ab93Aed3a010F36F549d', 'withdrawTips': None, 'depositTips': None}]"
TNB,Time New Bank,"[{'coin': 'TNB', 'depositDesc': None, 'depositEnable': False, 'minConfirm': 64, 'name': 'Time New Bank', 'network': 'Ethereum(ERC20)', 'withdrawEnable': True, 'withdrawFee': '0', 'withdrawIntegerMultiple': None, 'withdrawMax': '50000000', 'withdrawMin': '2000', 'sameAddress': False, 'contract': '0xF7920B0768Ecb20A123fAc32311d07D193381d6f', 'withdrawTips': None, 'depositTips': None}]"
CLS,Coldstack,"[{'coin': 'CLS', 'depositDesc': None, 'depositEnable': True, 'minConfirm': 64, 'name': 'Coldstack', 'network': 'Ethereum(ERC20)', 'withdrawEnable': True, 'withdrawFee': '96', 'withdrawIntegerMultiple': None, 'withdrawMax': '3000000', 'withdrawMin': '120', 'sameAddress': False, 'contract': '0x675bbc7514013e2073db7a919f6e4cbef576de37', 'withdrawTips': None, 'depositTips': None}]"
CLV,Clover,"[{'coin': 'CLV', 'depositDesc': None, 'depositEnable': True, 'minConfirm': 64, 'name': 'Clover Finance', 'network': 'Ethereum(ERC20)', 'withdrawEnable': True, 'withdrawFee': '151', 'withdrawIntegerMultiple': None, 'withdrawMax': '4000000', 'withdrawMin': '300', 'sameAddress': False, 'contract': '0x80c62fe4487e1351b47ba49809ebd60ed085bf52', 'withdrawTips': None, 'depositTips': None}, {'coin': 'CLV', 'depositDesc': None, 'depositEnable': True, 'minConfirm': 12, 'name': 'Clover', 'network': 'BNB Smart Chain(BEP20)', 'withdrawEnable': True, 'withdrawFee': '6', 'withdrawIntegerMultiple': None, 'withdrawMax': '4000000', 'withdrawMin': '7.2', 'sameAddress': False, 'contract': '0x09E889BB4D5b474f561db0491C38702F367A4e4d', 'withdrawTips': None, 'depositTips': None}]"
DAISY,Daisy Launch Pad,"[{'coin': 'DAISY', 'depositDesc': None, 'depositEnable': False, 'minConfirm': 200, 'name': 'Daisy Launch Pad', 'network': 'Tron(TRC20)', 'withdrawEnable': True, 'withdrawFee': '0', 'withdrawIntegerMultiple': None, 'withdrawMax': '40000', 'withdrawMin': '12', 'sameAddress': False, 'contract': 'TPrDk8WfuMheRFiC3Q5FsmCq74GuQXGcdL', 'withdrawTips': None, 'depositTips': None}, {'coin': 'DAISY', 'depositDesc': None, 'depositEnable': False, 'minConfirm': 64, 'name': 'Daisy Launch Pad', 'network': 'Ethereum(ERC20)', 'withdrawEnable': False, 'withdrawFee': '81', 'withdrawIntegerMultiple': None, 'withdrawMax': '30000', 'withdrawMin': '100', 'sameAddress': False, 'contract': '0x40955d77f87123b71b145098358a60573ac7be96', 'withdrawTips': None, 'depositTips': None}]"
DRAC,DRAC Network,"[{'coin': 'DRAC', 'depositDesc': 'Deposit is prohibited (forced deposit may result in asset loss)', 'depositEnable': False, 'minConfirm': 80, 'name': 'DRAC', 'network': 'DRAC', 'withdrawEnable': False, 'withdrawFee': '0', 'withdrawIntegerMultiple': None, 'withdrawMax': '23000000', 'withdrawMin': '2', 'sameAddress': False, 'contract': '', 'withdrawTips': None, 'depositTips': None}, {'coin': 'DRAC', 'depositDesc': 'Deposit is prohibited (forced deposit may result in asset loss)', 'depositEnable': False, 'minConfirm': 12, 'name': 'DRAC Network', 'network': 'BNB Smart Chain(BEP20)', 'withdrawEnable': False, 'withdrawFee': '0', 'withdrawIntegerMultiple': None, 'withdrawMax': '23000000', 'withdrawMin': '40', 'sameAddress': False, 'contract': '0x123458C167a371250d325Bd8B1ffF12C8AF692A7', 'withdrawTips': None, 'depositTips': None}]"
CLY,Colony,"[{'coin': 'CLY', 'depositDesc': None, 'depositEnable': True, 'minConfirm': 35, 'name': 'Colony', 'network': 'Avalanche C Chain(AVAX CCHAIN)', 'withdrawEnable': True, 'withdrawFee': '4', 'withdrawIntegerMultiple': None, 'withdrawMax': '5600000', 'withdrawMin': '10', 'sameAddress': False, 'contract': '0xec3492a2508ddf4fdc0cd76f31f340b30d1793e6', 'withdrawTips': None, 'depositTips': None}]"
GAX1,Galaxy Wallet,"[{'coin': 'GAX1', 'depositDesc': None, 'depositEnable': True, 'minConfirm': 12, 'name': 'Galaxy Wallet', 'network': 'BNB Smart Chain(BEP20)', 'withdrawEnable': True, 'withdrawFee': '0.8', 'withdrawIntegerMultiple': None, 'withdrawMax': '1430000', 'withdrawMin': '1', 'sameAddress': False, 'contract': '0x42532819f065de40C6359648F6692AB8E1e02b2F', 'withdrawTips': ""The token name of Galaxy Wallet (GAX) is GAX1 in MEXC; The last digits of the token's contract address are 2b2F, please make sure they're correct before taking action."", 'depositTips': ""The token name of Galaxy Wallet (GAX) is GAX1 in MEXC; The last digits of the token's contract address are 2b2F, please make sure they're correct before taking action.""}]"
TNL,Tunnel,"[{'coin': 'TNL', 'depositDesc': None, 'depositEnable': False, 'minConfirm': 12, 'name': 'Tunnel', 'network': 'BNB Smart Chain(BEP20)', 'withdrawEnable': True, 'withdrawFee': '129023', 'withdrawIntegerMultiple': None, 'withdrawMax': '5000000000', 'withdrawMin': '170079.6', 'sameAddress': False, 'contract': '0xf0147183aA4E0A5332d6adb72f0B380611200179', 'withdrawTips': None, 'depositTips': None}]"
TNS,TNS,"[{'coin': 'TNS', 'depositDesc': None, 'depositEnable': True, 'minConfirm': 30, 'name': 'TNS', 'network': 'LUNC', 'withdrawEnable': True, 'withdrawFee': '0', 'withdrawIntegerMultiple': None, 'withdrawMax': '60000000', 'withdrawMin': '1', 'sameAddress': True, 'contract': 'terra14vz4v8adanzph278xyeggll4tfww7teh0xtw2y', 'withdrawTips': None, 'depositTips': ''}]"
ZINU,Zombie Inu,"[{'coin': 'ZINU', 'depositDesc': None, 'depositEnable': True, 'minConfirm': 12, 'name': 'Zombie Inu', 'network': 'BNB Smart Chain(BEP20)', 'withdrawEnable': True, 'withdrawFee': '1332', 'withdrawIntegerMultiple': None, 'withdrawMax': '55000000', 'withdrawMin': '3000', 'sameAddress': False, 'contract': '0x80640A39cFc2b1B7C792821c462376aa7083f5a8', 'withdrawTips': None, 'depositTips': None}]"
TOKEN,TokenFi,"[{'coin': 'TOKEN', 'depositDesc': None, 'depositEnable': True, 'minConfirm': 12, 'name': 'TokenFi', 'network': 'BNB Smart Chain(BEP20)', 'withdrawEnable': True, 'withdrawFee': '20', 'withdrawIntegerMultiple': None, 'withdrawMax': '2500000', 'withdrawMin': '40', 'sameAddress': False, 'contract': '0x4507cEf57C46789eF8d1a19EA45f4216bae2B528', 'withdrawTips': '', 'depositTips': ''}]"
NPICK,NPICK BLOCK,"[{'coin': 'NPICK', 'depositDesc': None, 'depositEnable': True, 'minConfirm': 64, 'name': 'NPICK BLOCK', 'network': 'Ethereum(ERC20)', 'withdrawEnable': True, 'withdrawFee': '32247', 'withdrawIntegerMultiple': None, 'withdrawMax': '370000000', 'withdrawMin': '50000', 'sameAddress': False, 'contract': '0xC3DCA8F61B275d1e88f3ea31B3e311c49f56b24B', 'withdrawTips': None, 'depositTips': None}]"
LAZIO,S.S. Lazio Fan Token,"[{'coin': 'LAZIO', 'depositDesc': None, 'depositEnable': True, 'minConfirm': 12, 'name': 'S.S. Lazio Fan Token', 'network': 'BNB Smart Chain(BEP20)', 'withdrawEnable': True, 'withdrawFee': '0.2', 'withdrawIntegerMultiple': None, 'withdrawMax': '66000', 'withdrawMin': '1', 'sameAddress': False, 'contract': '0x77d547256A2cD95F32F67aE0313E450Ac200648d', 'withdrawTips': None, 'depositTips': None}]"
DINO,DinoSwap,"[{'coin': 'DINO', 'depositDesc': None, 'depositEnable': False, 'minConfirm': 500, 'name': 'DinoSwap', 'network': 'Polygon(MATIC)', 'withdrawEnable': False, 'withdrawFee': '0', 'withdrawIntegerMultiple': None, 'withdrawMax': '150000', 'withdrawMin': '1', 'sameAddress': False, 'contract': '0xaa9654becca45b5bdfa5ac646c939c62b527d394', 'withdrawTips': None, 'depositTips': None}]"
CMP,Caduceus Metaverse,"[{'coin': 'CMP', 'depositDesc': None, 'depositEnable': True, 'minConfirm': 30, 'name': 'Caduceus Metaverse', 'network': 'CMP', 'withdrawEnable': True, 'withdrawFee': '1', 'withdrawIntegerMultiple': None, 'withdrawMax': '2000000', 'withdrawMin': '10', 'sameAddress': False, 'contract': '', 'withdrawTips': None, 'depositTips': None}]"
CMT,CyberMiles,"[{'coin': 'CMT', 'depositDesc': None, 'depositEnable': False, 'minConfirm': 64, 'name': 'CyberMiles', 'network': 'Ethereum(ERC20)', 'withdrawEnable': False, 'withdrawFee': '0', 'withdrawIntegerMultiple': None, 'withdrawMax': '5000000', 'withdrawMin': '0', 'sameAddress': False, 'contract': '0xf85fEea2FdD81d51177F6b8F35F0e6734Ce45F5F', 'withdrawTips': None, 'depositTips': None}]"
TOK,Tokenplace,"[{'coin': 'TOK', 'depositDesc': 'Deposit suspended due to wallet maintenance', 'depositEnable': False, 'minConfirm': 64, 'name': 'Tokenplace', 'network': 'Ethereum(ERC20)', 'withdrawEnable': True, 'withdrawFee': '0', 'withdrawIntegerMultiple': None, 'withdrawMax': '96000000', 'withdrawMin': '1', 'sameAddress': False, 'contract': '0x4Fb721eF3Bf99e0f2c193847afA296b9257d3C30', 'withdrawTips': None, 'depositTips': None}]"
TON,Toncoin,"[{'coin': 'TON', 'depositDesc': None, 'depositEnable': True, 'minConfirm': 200, 'name': 'TONCOIN', 'network': 'Toncoin(TON)', 'withdrawEnable': True, 'withdrawFee': '0.02', 'withdrawIntegerMultiple': None, 'withdrawMax': '100000', 'withdrawMin': '1', 'sameAddress': True, 'contract': '', 'withdrawTips': None, 'depositTips': 'Address and Memo/Tag need to fill up at the same time to deposit TON successfully.'}, {'coin': 'TON', 'depositDesc': None, 'depositEnable': True, 'minConfirm': 12, 'name': 'Toncoin', 'network': 'BNB Smart Chain(BEP20)', 'withdrawEnable': True, 'withdrawFee': '0.47', 'withdrawIntegerMultiple': None, 'withdrawMax': '720000', 'withdrawMin': '1', 'sameAddress': False, 'contract': '0x76A797A59Ba2C17726896976B7B3747BfD1d220f', 'withdrawTips': None, 'depositTips': None}, {'coin': 'TON', 'depositDesc': None, 'depositEnable': True, 'minConfirm': 64, 'name': 'Toncoin', 'network': 'Ethereum(ERC20)', 'withdrawEnable': True, 'withdrawFee': '4.46', 'withdrawIntegerMultiple': None, 'withdrawMax': '730000', 'withdrawMin': '8.76', 'sameAddress': False, 'contract': '0x582d872A1B094FC48F5DE31D3B73F2D9bE47def1', 'withdrawTips': None, 'depositTips': None}]"
TOP,TOP Network,"[{'coin': 'TOP', 'depositDesc': None, 'depositEnable': True, 'minConfirm': 3, 'name': 'TOP Network', 'network': 'TOP', 'withdrawEnable': True, 'withdrawFee': '0.1', 'withdrawIntegerMultiple': None, 'withdrawMax': '470000000', 'withdrawMin': '1', 'sameAddress': True, 'contract': '', 'withdrawTips': None, 'depositTips': None}]"
XFINANCE,Xfinance,"[{'coin': 'XFINANCE', 'depositDesc': 'Deposit suspended due to wallet maintenance', 'depositEnable': False, 'minConfirm': 64, 'name': 'Xfinance', 'network': 'Ethereum(ERC20)', 'withdrawEnable': False, 'withdrawFee': '10', 'withdrawIntegerMultiple': None, 'withdrawMax': '500000', 'withdrawMin': '20', 'sameAddress': False, 'contract': '0x5BEfBB272290dD5b8521D4a938f6c4757742c430', 'withdrawTips': None, 'depositTips': None}]"
MCHC,My Crypto Heroes,"[{'coin': 'MCHC', 'depositDesc': None, 'depositEnable': True, 'minConfirm': 64, 'name': 'My Crypto Heroes', 'network': 'Ethereum(ERC20)', 'withdrawEnable': True, 'withdrawFee': '174', 'withdrawIntegerMultiple': None, 'withdrawMax': '3000000', 'withdrawMin': '200', 'sameAddress': False, 'contract': '0xd69f306549e9d96f183b1aeca30b8f4353c2ecc3', 'withdrawTips': None, 'depositTips': None}]"
CND,Cindicator,"[{'coin': 'CND', 'depositDesc': None, 'depositEnable': False, 'minConfirm': 64, 'name': 'Cindicator', 'network': 'Ethereum(ERC20)', 'withdrawEnable': True, 'withdrawFee': '0', 'withdrawIntegerMultiple': None, 'withdrawMax': '5000000', 'withdrawMin': '100', 'sameAddress': False, 'contract': '0xd4c435F5B09F855C3317c8524Cb1F586E42795fa', 'withdrawTips': None, 'depositTips': None}]"
CNC,Conic Finance,"[{'coin': 'CNC', 'depositDesc': None, 'depositEnable': True, 'minConfirm': 64, 'name': 'Conic Finance', 'network': 'Ethereum(ERC20)', 'withdrawEnable': True, 'withdrawFee': '5.6', 'withdrawIntegerMultiple': None, 'withdrawMax': '100000', 'withdrawMin': '6.408', 'sameAddress': False, 'contract': '0x9aE380F0272E2162340a5bB646c354271c0F5cFC', 'withdrawTips': None, 'depositTips': None}]"
TOX,INTOverse,"[{'coin': 'TOX', 'depositDesc': None, 'depositEnable': True, 'minConfirm': 12, 'name': 'INTOverse', 'network': 'BNB Smart Chain(BEP20)', 'withdrawEnable': True, 'withdrawFee': '1', 'withdrawIntegerMultiple': None, 'withdrawMax': '200000', 'withdrawMin': '10', 'sameAddress': False, 'contract': '0x837656c3f5858692cCdce13BA66e09d2685073df', 'withdrawTips': None, 'depositTips': None}]"
CNG,Changer,"[{'coin': 'CNG', 'depositDesc': None, 'depositEnable': True, 'minConfirm': 64, 'name': 'Changer', 'network': 'Ethereum(ERC20)', 'withdrawEnable': True, 'withdrawFee': '178', 'withdrawIntegerMultiple': None, 'withdrawMax': '12000000', 'withdrawMin': '300', 'sameAddress': False, 'contract': '0x5C1d9aA868a30795F92fAe903eDc9eFF269044bf', 'withdrawTips': None, 'depositTips': None}]"
ITAMCUBE,CUBE,"[{'coin': 'ITAMCUBE', 'depositDesc': 'Deposit suspended due to wallet maintenance', 'depositEnable': False, 'minConfirm': 12, 'name': 'CUBE', 'network': 'BNB Smart Chain(BEP20)', 'withdrawEnable': True, 'withdrawFee': '0', 'withdrawIntegerMultiple': None, 'withdrawMax': '142412533.5', 'withdrawMin': '1', 'sameAddress': False, 'contract': '0x9b08f10d8c250714f6485212300a7b72f973f1fd', 'withdrawTips': None, 'depositTips': None}]"
TPC,Techpay,"[{'coin': 'TPC', 'depositDesc': None, 'depositEnable': False, 'minConfirm': 100, 'name': 'Techpay', 'network': 'TPC', 'withdrawEnable': False, 'withdrawFee': '0', 'withdrawIntegerMultiple': None, 'withdrawMax': '33000000', 'withdrawMin': '1', 'sameAddress': False, 'contract': '', 'withdrawTips': None, 'depositTips': None}]"
CNT,Connect,"[{'coin': 'CNT', 'depositDesc': None, 'depositEnable': False, 'minConfirm': 12, 'name': 'Connect', 'network': 'BNB Smart Chain(BEP20)', 'withdrawEnable': True, 'withdrawFee': '0', 'withdrawIntegerMultiple': None, 'withdrawMax': '10000000', 'withdrawMin': '1', 'sameAddress': False, 'contract': '0x17B6115A4d0292745D122A49aDe76ed5Ac16b19d', 'withdrawTips': None, 'depositTips': None}]"
CNS,Centric Swap,"[{'coin': 'CNS', 'depositDesc': None, 'depositEnable': True, 'minConfirm': 12, 'name': 'Centric Swap', 'network': 'BNB Smart Chain(BEP20)', 'withdrawEnable': True, 'withdrawFee': '56869', 'withdrawIntegerMultiple': None, 'withdrawMax': '40000000000', 'withdrawMin': '72734.4', 'sameAddress': False, 'contract': '0xF6Cb4ad242BaB681EfFc5dE40f7c8FF921a12d63', 'withdrawTips': None, 'depositTips': None}]"
AIDOGEX,AI DogeX,"[{'coin': 'AIDOGEX', 'depositDesc': None, 'depositEnable': True, 'minConfirm': 12, 'name': 'AI DogeX', 'network': 'BNB Smart Chain(BEP20)', 'withdrawEnable': True, 'withdrawFee': '650701212', 'withdrawIntegerMultiple': None, 'withdrawMax': '10000000000000', 'withdrawMin': '800000000', 'sameAddress': False, 'contract': '0x246fCdC18bF3781B4c5100B3A6DEcEf8DBcC8a31', 'withdrawTips': 'Please note that there will be an additional  10% fee for each transfer of AIDOGEX to the official smart contract.', 'depositTips': 'Please note that there will be an additional  10% fee for each transfer of AIDOGEX to the official smart contract.'}]"
FANCY,FANCY,"[{'coin': 'FANCY', 'depositDesc': None, 'depositEnable': True, 'minConfirm': 64, 'name': 'FANCY', 'network': 'Ethereum(ERC20)', 'withdrawEnable': True, 'withdrawFee': '46166261908', 'withdrawIntegerMultiple': None, 'withdrawMax': '200000000000000', 'withdrawMin': '128899637821.2', 'sameAddress': False, 'contract': '0x795EF0b729BBEbbBeC56f8dbb330c685d6ac1b0D', 'withdrawTips': ""The token name of VERSACE (VERSACE) is FANCY in MEXC; The last digits of the token's contract address are 1b0D, please make sure they're correct before taking action."", 'depositTips': ""The token name of VERSACE (VERSACE) is FANCY in MEXC; The last digits of the token's contract address are 1b0D, please make sure they're correct before taking action.""}]"
KNFT,KStarNFT,"[{'coin': 'KNFT', 'depositDesc': None, 'depositEnable': True, 'minConfirm': 12, 'name': 'KStarNFT', 'network': 'BNB Smart Chain(BEP20)', 'withdrawEnable': True, 'withdrawFee': '8', 'withdrawIntegerMultiple': None, 'withdrawMax': '30000000', 'withdrawMin': '10.8', 'sameAddress': False, 'contract': '0x46E83FbcC5623172EE61935C96B7276Ab92562De', 'withdrawTips': None, 'depositTips': None}]"
PARMA,PARMA Fan Token,"[{'coin': 'PARMA', 'depositDesc': None, 'depositEnable': True, 'minConfirm': 12, 'name': 'PARMA Fan Token', 'network': 'BNB Smart Chain(BEP20)', 'withdrawEnable': True, 'withdrawFee': '4', 'withdrawIntegerMultiple': None, 'withdrawMax': '1000000', 'withdrawMin': '6', 'sameAddress': False, 'contract': '0xf7F0dc9fD88e436847580D883319137Ec2aA6b94', 'withdrawTips': None, 'depositTips': None}]"
ITHEUM,Itheum,"[{'coin': 'ITHEUM', 'depositDesc': None, 'depositEnable': True, 'minConfirm': 50, 'name': 'Itheum', 'network': 'EGLD', 'withdrawEnable': True, 'withdrawFee': '2', 'withdrawIntegerMultiple': None, 'withdrawMax': '4500000', 'withdrawMin': '4', 'sameAddress': False, 'contract': 'ITHEUM-df6f26', 'withdrawTips': None, 'depositTips': None}]"
SAIXOLD,SAIX,"[{'coin': 'SAIXOLD', 'depositDesc': 'Deposit is prohibited (forced deposit may result in asset loss)', 'depositEnable': False, 'minConfirm': 100, 'name': 'SAIX', 'network': 'Arbitrum One(ARB)', 'withdrawEnable': True, 'withdrawFee': '0', 'withdrawIntegerMultiple': None, 'withdrawMax': '20000000', 'withdrawMin': '100', 'sameAddress': False, 'contract': '0xAfA37Dfc7BA1eB85F266f079BbB53030f5927d7e', 'withdrawTips': None, 'depositTips': None}]"
ELFWALLET,ELF WALLET,"[{'coin': 'ELFWALLET', 'depositDesc': 'Deposit suspended due to wallet maintenance', 'depositEnable': False, 'minConfirm': 12, 'name': 'ELF WALLET', 'network': 'BNB Smart Chain(BEP20)', 'withdrawEnable': True, 'withdrawFee': '0', 'withdrawIntegerMultiple': None, 'withdrawMax': '20000000', 'withdrawMin': '2415.6', 'sameAddress': False, 'contract': '0x56D594D76b37BE83C54aBF8a4747D60CE58D32C2', 'withdrawTips': ""The token name of ELF WALLET (ELF)  is ELFWALLET in MEXC; The last digits of the token's contract address are 32C2, please make sure they're correct before taking action."", 'depositTips': ""The token name of ELF WALLET (ELF)  is ELFWALLET in MEXC; The last digits of the token's contract address are 32C2, please make sure they're correct before taking action.""}]"
ORBR,Orbler,"[{'coin': 'ORBR', 'depositDesc': 'Deposit suspended due to wallet maintenance', 'depositEnable': False, 'minConfirm': 64, 'name': 'Orbler', 'network': 'Ethereum(ERC20)', 'withdrawEnable': True, 'withdrawFee': '0', 'withdrawIntegerMultiple': None, 'withdrawMax': '40000', 'withdrawMin': '1', 'sameAddress': False, 'contract': '0xdA30f261a962d5AAe94C9ecd170544600d193766', 'withdrawTips': None, 'depositTips': None}]"
MTLX,Mettalex,"[{'coin': 'MTLX', 'depositDesc': None, 'depositEnable': False, 'minConfirm': 64, 'name': 'Mettalex', 'network': 'Ethereum(ERC20)', 'withdrawEnable': True, 'withdrawFee': '0', 'withdrawIntegerMultiple': None, 'withdrawMax': '1500000', 'withdrawMin': '10', 'sameAddress': False, 'contract': '0x2e1E15C44Ffe4Df6a0cb7371CD00d5028e571d14', 'withdrawTips': None, 'depositTips': None}]"
CALCIUM,Calcium,"[{'coin': 'CALCIUM', 'depositDesc': None, 'depositEnable': True, 'minConfirm': 64, 'name': 'Calcium', 'network': 'Ethereum(ERC20)', 'withdrawEnable': True, 'withdrawFee': '1237', 'withdrawIntegerMultiple': None, 'withdrawMax': '4444444.444444', 'withdrawMin': '2264.4', 'sameAddress': False, 'contract': '0x20561172f791f915323241E885b4f7D5187c36E1', 'withdrawTips': ""The token name of Calcium (CAL) is CALCIUM in MEXC; The last digits of the token's contract address are 36E1, please make sure they're correct before taking action."", 'depositTips': ""The token name of Calcium (CAL) is CALCIUM in MEXC; The last digits of the token's contract address are 36E1, please make sure they're correct before taking action.""}]"
VMINT,VoluMint,"[{'coin': 'VMINT', 'depositDesc': None, 'depositEnable': True, 'minConfirm': 64, 'name': 'VoluMint', 'network': 'Ethereum(ERC20)', 'withdrawEnable': True, 'withdrawFee': '555', 'withdrawIntegerMultiple': None, 'withdrawMax': '28000000', 'withdrawMin': '1158', 'sameAddress': False, 'contract': '0xD7B2C1a7F3c67fB0EA57a7ef29bC1F18D7bE3195', 'withdrawTips': None, 'depositTips': None}]"
TPT,TPT-BSC,"[{'coin': 'TPT', 'depositDesc': ""Deposit suspended upon project party's request"", 'depositEnable': False, 'minConfirm': 12, 'name': 'Token Pocket', 'network': 'HECO', 'withdrawEnable': False, 'withdrawFee': '0.5', 'withdrawIntegerMultiple': None, 'withdrawMax': '27280858.682', 'withdrawMin': '10', 'sameAddress': False, 'contract': '0x9ef1918a9bee17054b35108bd3e2665e2af1bb1b', 'withdrawTips': None, 'depositTips': None}, {'coin': 'TPT', 'depositDesc': None, 'depositEnable': True, 'minConfirm': 12, 'name': 'TPT-BSC', 'network': 'BNB Smart Chain(BEP20)', 'withdrawEnable': True, 'withdrawFee': '61', 'withdrawIntegerMultiple': None, 'withdrawMax': '33000000', 'withdrawMin': '80', 'sameAddress': False, 'contract': '0xeca41281c24451168a37211f0bc2b8645af45092', 'withdrawTips': None, 'depositTips': None}]"
COF,Espresso Ex,"[{'coin': 'COF', 'depositDesc': None, 'depositEnable': True, 'minConfirm': 100, 'name': 'Espresso Ex', 'network': 'Arbitrum One(ARB)', 'withdrawEnable': True, 'withdrawFee': '360000', 'withdrawIntegerMultiple': None, 'withdrawMax': '200000000000', 'withdrawMin': '500000', 'sameAddress': False, 'contract': '0xd9fAb7bF03D62731fCd9Ec88941F2E0803383F3a', 'withdrawTips': None, 'depositTips': None}]"
TPY,Thrupenny,"[{'coin': 'TPY', 'depositDesc': None, 'depositEnable': True, 'minConfirm': 100, 'name': 'Thrupenny', 'network': 'Arbitrum One(ARB)', 'withdrawEnable': True, 'withdrawFee': '0.08', 'withdrawIntegerMultiple': None, 'withdrawMax': '333333', 'withdrawMin': '1', 'sameAddress': False, 'contract': '0xa279301414012C53Bc7b7a21788d33E244efBECC', 'withdrawTips': None, 'depositTips': None}]"
COM,BRC20.COM,"[{'coin': 'COM', 'depositDesc': None, 'depositEnable': True, 'minConfirm': 3, 'name': 'BRC20.COM', 'network': 'BRC20', 'withdrawEnable': True, 'withdrawFee': '40', 'withdrawIntegerMultiple': None, 'withdrawMax': '70000', 'withdrawMin': '80', 'sameAddress': False, 'contract': '.com', 'withdrawTips': None, 'depositTips': None}]"
CON,CONUN,"[{'coin': 'CON', 'depositDesc': None, 'depositEnable': False, 'minConfirm': 64, 'name': 'CONUN', 'network': 'Ethereum(ERC20)', 'withdrawEnable': True, 'withdrawFee': '0', 'withdrawIntegerMultiple': None, 'withdrawMax': '30000000', 'withdrawMin': '1500', 'sameAddress': False, 'contract': '0x4dd672e77c795844fe3a464ef8ef0faae617c8fb', 'withdrawTips': None, 'depositTips': None}]"
DRAW,DragonWar,"[{'coin': 'DRAW', 'depositDesc': 'Deposit is prohibited (forced deposit may result in asset loss)', 'depositEnable': False, 'minConfirm': 100, 'name': 'DragonWar', 'network': 'Solana(SOL)', 'withdrawEnable': True, 'withdrawFee': '0', 'withdrawIntegerMultiple': None, 'withdrawMax': '440000000', 'withdrawMin': '1', 'sameAddress': False, 'contract': '48AEwauAHsJibyt3WqjQ6EoHnFBcnyHASfo7vB2eCXPS', 'withdrawTips': 'The withdrawal address must be the owner’s address or an activated secondary address. Otherwise, you will lose your funds.\r\nsol network is unstable，withdrawal may be failed.', 'depositTips': None}]"
IPOR,IPOR,"[{'coin': 'IPOR', 'depositDesc': 'Deposit suspended due to wallet maintenance', 'depositEnable': False, 'minConfirm': 64, 'name': 'IPOR', 'network': 'Ethereum(ERC20)', 'withdrawEnable': True, 'withdrawFee': '0', 'withdrawIntegerMultiple': None, 'withdrawMax': '200000', 'withdrawMin': '1', 'sameAddress': False, 'contract': '0x1e4746dC744503b53b4A082cB3607B169a289090', 'withdrawTips': None, 'depositTips': None}]"
ASTROSWAP,ASTROSWAP,"[{'coin': 'ASTROSWAP', 'depositDesc': None, 'depositEnable': False, 'minConfirm': 12, 'name': 'ASTROSWAP', 'network': 'BNB Smart Chain(BEP20)', 'withdrawEnable': True, 'withdrawFee': '0', 'withdrawIntegerMultiple': None, 'withdrawMax': '23000000', 'withdrawMin': '1', 'sameAddress': False, 'contract': '0x72eB7CA07399Ec402c5b7aa6A65752B6A1Dc0C27', 'withdrawTips': None, 'depositTips': None}]"
COW,CoW Protocol,"[{'coin': 'COW', 'depositDesc': 'Deposit suspended due to wallet maintenance', 'depositEnable': False, 'minConfirm': 64, 'name': 'CoW Protocol', 'network': 'Ethereum(ERC20)', 'withdrawEnable': True, 'withdrawFee': '0', 'withdrawIntegerMultiple': None, 'withdrawMax': '3000000', 'withdrawMin': '1', 'sameAddress': False, 'contract': '0xdef1ca1fb7fbcdc777520aa7f396b4e015f497ab', 'withdrawTips': None, 'depositTips': None}]"
PSWAP,Polkaswap,"[{'coin': 'PSWAP', 'depositDesc': 'Deposit suspended due to wallet maintenance', 'depositEnable': False, 'minConfirm': 64, 'name': 'Polkaswap', 'network': 'Ethereum(ERC20)', 'withdrawEnable': True, 'withdrawFee': '0', 'withdrawIntegerMultiple': None, 'withdrawMax': '50000', 'withdrawMin': '2', 'sameAddress': False, 'contract': '0x519C1001D550C0a1DaE7d1fC220f7d14c2A521BB', 'withdrawTips': None, 'depositTips': None}]"
LAD, Ladder Network,"[{'coin': 'LAD', 'depositDesc': None, 'depositEnable': False, 'minConfirm': 64, 'name': ' Ladder Network', 'network': 'Ethereum(ERC20)', 'withdrawEnable': True, 'withdrawFee': '0', 'withdrawIntegerMultiple': None, 'withdrawMax': '2000000', 'withdrawMin': '100', 'sameAddress': False, 'contract': '0x4129d3b7a6a2c5c997774077ac02bdafd1af1d6a', 'withdrawTips': None, 'depositTips': None}]"
